,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,0,4,0,0,2,0,0,2,0,4
i,0,0,18,0,0,0,22,0,0,2,0,30
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,2,0,0,0,0,0,2
II,4,0,0,0,4,0,0,0,0,0,0,0
ii,0,14,0,0,16,0,0,0,0,0,0,4
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,8,0,0,4,0,0,8,0,0,0,0
III,0,0,14,0,0,0,10,0,0,4,0,0
iii,0,2,12,2,0,2,2,0,0,0,0,0
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,4,0,0,0,0,0,4,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,4,2,0,8,0,12,0,4,0,12,4
v,0,12,8,0,42,0,24,14,0,10,0,20
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,2,0,0,0,0,0,2,0,0,4,0,0
VI,0,0,4,0,0,0,4,20,0,0,0,22
vi,0,0,4,0,0,0,0,4,0,2,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,14,0,0,12,0,0,4,0,16,0,0
vii,4,4,0,0,2,0,0,4,0,10,2,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,6,0,0,6,0,0,0,0,0,6,0
