,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,0,0,25,0,0,0,25,0,0,2
i,0,0,0,0,27,0,0,0,0,0,0,9
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,11,0,0,0,11,0
ii,0,30,0,0,0,0,115,0,0,17,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,2,0,0,0,0,0,2,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,16,0,0,0,0,59,0,0,10
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,4,0,0,0,0,0,4,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,13,0,0,0,0,0,0,0,15
v,0,0,9,0,0,0,10,0,0,0,0,46
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,5,0,0,0,0,0,5
VI,0,0,0,0,0,0,0,0,0,0,0,0
vi,0,77,0,0,19,0,0,0,37,0,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,4,0,0,0,0,0,4,0,0,0,0
VII,0,0,0,0,0,0,0,0,0,0,0,0
vii,0,0,0,31,0,0,26,0,0,0,2,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,0,4,0,0,0,0,0,4,0,0
