,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,0,0,25,0,3,0,25,0,0,2
i,0,0,0,8,27,0,0,0,0,0,0,9
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,1,2,11,0,0,2,11,0
ii,4,30,0,0,36,10,115,2,7,17,1,0
II+,0,1,0,0,0,1,0,0,0,1,0,0
iio,2,0,0,0,0,0,2,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,16,0,5,22,6,59,0,0,10
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,4,0,0,0,0,0,4,4,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,26,0,13,0,0,0,2,6,30,0,15
v,0,2,9,0,9,0,10,0,14,59,14,46
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,3,0,0,8,5,0,0,0,0,6,5
VI,2,0,0,0,4,0,0,0,0,0,0,0
vi,4,77,0,0,19,0,0,0,37,0,0,29
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,4,0,0,0,0,0,4,2,0,0,0
VII,0,0,4,0,0,0,4,0,0,2,0,0
vii,2,4,2,31,1,0,26,0,0,4,2,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,0,4,1,0,0,0,0,4,0,0
