,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,0,0,26,0,0,0,26,0,0,8
i,0,0,0,0,22,0,0,0,0,0,0,12
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0
ii,0,10,0,0,2,0,18,0,0,10,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,6,0,0,2,0,34,0,0,28
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,2,0,0,0,0,0,2,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,6,0,8,2,0,4,0,0,6,0,8
v,0,2,0,0,4,0,18,0,2,22,2,38
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,2,2,0,0,0,0,2,2
VI,0,0,0,0,0,0,0,0,0,0,0,0
vi,4,28,0,0,20,0,0,0,10,0,0,4
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0,0,0,0,0,0,0,0,0,0
vii,0,0,2,14,0,0,14,0,0,2,2,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,2,0,0,12,0,0,0,0,0,12,0,0
