,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,1,0,0,2,0,10,1,0,0,9
i,0,0,18,8,0,5,1,49,3,6,7,1
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,1,0,0,1,0,0,1,0,0,0
II,0,6,0,0,4,0,0,1,0,6,0,0
ii,6,2,1,0,2,0,0,6,0,14,6,1
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,1,0,0,1,0,0,0,0,0,1,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,1,0,1,0,0,0,0,0,0,0,0,1
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,2,0,0,2,0,0,0,0,0,2
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,1,1,13,0,0,0,11,0,0,6,0,0
v,17,0,20,15,1,7,2,7,2,6,6,1
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,3,0,2,1,0,2,3,0,2,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0
vi,0,0,0,0,0,0,0,0,0,0,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0,0,0,1,1,0,0,1,1,0
vii,3,1,0,0,0,8,2,3,2,1,4,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,6,0,0,0,0,0,6,0,0,2,0,0
