,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,1,0,0,0,0,1,0,0,0,1
i,0,0,6,0,0,0,0,18,0,0,6,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0
ii,17,0,0,0,0,0,0,0,0,15,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,2,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,0,0,0,0,0,0,0,0,0
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,4,0,0,0,4,0,0,1,0,0
v,0,0,36,0,0,19,0,0,0,0,0,0
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,3,0,0,0,0,0,0
VI,0,0,0,0,0,0,0,0,0,0,0,0
vi,0,0,0,0,0,0,0,0,0,0,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,0,0,0,0,0,0,0,0,0,0,0
VII,3,0,0,0,0,10,0,0,0,8,0,0
vii,0,0,0,0,0,0,0,0,0,0,0,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,1,0,0,0,0,0,1,0,0,0,0,0
