,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,2,0,0,0,0,0,0,0,2,0,0
i,18,0,0,0,17,0,0,0,0,54,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,4,0,0,2,0,0,0,0,4
ii,0,0,17,0,0,0,4,0,0,0,0,32
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,0,0,0,11,0,0,0,0,0,11
III,32,0,0,0,25,0,0,8,0,0,0,0
iii,27,0,0,0,0,0,0,18,0,0,0,0
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,6,0,0,0,6,0,0,4
v,0,0,0,0,46,0,0,17,0,0,0,15
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,0,0,0,0,7,0,0,0,7,0,0
vi,0,0,0,0,0,0,9,0,0,1,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,10,0,0,0,0,0,10,0,0,0,0,0
VII,0,0,16,0,0,0,0,43,0,0,0,40
vii,0,0,0,0,0,0,0,0,6,0,0,4
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,12,0,0,0,0,0,12,0,0,2
