,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,22,0,0,11,0,0,0,0,28,0,0
i,58,0,0,0,42,0,0,0,0,112,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,3,0,0,0,0,0,0,0,0,1,0,0
II,0,0,0,10,0,0,4,0,0,0,0,10
ii,0,0,17,0,0,0,5,0,0,0,0,32
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,2,0,0,18,0,0,0,0,0,18
III,66,0,0,0,59,0,0,13,0,0,0,0
iii,13,0,0,0,0,0,0,10,0,0,0,0
III+,1,0,0,0,1,0,0,0,1,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,24,0,0,0,21,0,0,4
v,0,0,0,0,77,0,0,35,0,0,0,28
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,0,0,0,0,0,0,0
VI,10,0,0,0,0,32,0,0,0,35,0,0
vi,0,2,0,0,0,0,27,0,0,18,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,10,0,0,0,0,0,10,0,0,1,0,0
VII,0,0,9,0,0,0,0,56,0,0,0,51
vii,0,0,0,4,0,0,0,0,12,0,0,11
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,11,0,0,0,0,0,11,0,0,5
