,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,22,0,1,11,1,0,7,0,28,0,0
i,58,2,0,0,42,0,0,19,3,112,12,5
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,3,1,0,0,11,0,0,3,0,1,11,0
II,0,0,0,10,0,0,4,0,0,2,0,10
ii,1,0,17,0,0,2,5,0,0,16,1,32
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,2,0,0,18,0,0,0,0,0,18
III,66,0,0,0,59,0,0,13,0,0,0,1
iii,13,4,0,0,5,0,0,10,3,0,0,2
III+,1,0,0,0,1,0,0,0,1,0,0,0
iiio,0,14,0,0,5,0,0,14,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,2,0,25,0,24,0,17,0,21,5,0,4
v,10,3,102,13,77,44,5,35,0,23,16,28
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,1,0,0,14,0,0,2,0,0,14,0,0
VI,10,0,0,0,2,32,2,0,0,35,2,1
vi,5,2,0,0,8,13,27,0,0,18,4,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,10,0,0,0,0,0,10,0,0,1,0,0
VII,0,0,9,0,0,5,0,56,0,0,0,51
vii,0,0,11,4,0,3,5,19,12,4,1,11
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,11,0,0,1,0,0,11,0,0,5
