,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,2,0,0,2,0,0,0,0,3,0,0
i,8,0,0,0,10,0,0,0,0,20,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,2,0,0,1,0,0,0,0,2
ii,0,0,1,0,0,0,0,0,0,0,0,6
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,0,0,0,3,0,0,0,0,0,3
III,10,0,0,0,9,0,0,2,0,0,0,0
iii,10,0,0,0,0,0,0,3,0,0,0,0
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0
v,0,0,0,0,21,0,0,5,0,0,0,11
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,0,0,0,0,0,0,0,0,0,0,0,0
VI,1,0,0,0,0,5,0,0,0,5,0,0
vi,0,0,0,0,0,0,1,0,0,1,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,2,0,0,0,0,0,2,0,0,0,0,0
VII,0,0,2,0,0,0,0,4,0,0,0,4
vii,0,0,0,0,0,0,0,0,5,0,0,3
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,2,0,0,0,0,0,2,0,0,0
