,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,29,0,0,0,24,0,0,13,0,0,0,0
i,6,0,0,1,0,0,0,7,0,0,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,15,0,0,0,13,0,0,6,0,0
ii,0,0,27,0,0,19,0,0,0,11,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,0,0,15,0,0,13,0,0,0,6
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,15,0,0,0,0,30,0,0,0,24
v,0,0,9,0,0,0,0,23,0,0,4,0
V+,0,0,0,3,0,0,0,3,0,0,0,3
vo,0,0,0,0,0,0,0,4,0,0,0,0
VI,0,8,0,0,5,0,0,0,0,9,0,0
vi,12,0,0,0,5,0,0,0,0,22,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,4,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0,6,0,0,3,0,0,0,0,7
vii,0,0,9,0,0,0,2,0,0,0,0,8
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,6,0,0,7,0,0,0,0,0,7
